ID,urgency,category,complaint
86,Not Urgent,Pelayanan Publik,"Pak, kami warga rw 004, kelurahan pegadungan, kecamatan kalideres. Sudah bawa ektp & kk asli tapi tidak boleh memilih di tps 026 dan 027. Tidak ada petugas panwaslu disana. Akhirnya banyak warga tidak bisa memilih."
87,Not Urgent,Pelayanan Publik,"Halo Tim Ahok, nama saya tidak terdaftar di TPS no.68, Kel: Kamal, Kec: Kalideres, tidak boleh nyoblos, sudah bawa undangan tapi nama tidak terdaftar, sudah bawa e-ktp & KK juga tidak bisa"
88,Not Urgent,Pelayanan Publik,"Pak Ahok, banyak warga DKI Jakarta yang ditolak untuk melakukan penyoblosan, 
Seperti TPS 88 Cengkareng , TPS 89, dll
Di fb banyak status berita warga sperti itu pak. 
Kami sangat berharap Pak Ahok Djarot menang pak, 
Tolong minta polda ditindaklanjuti pak
Terima kasih."
89,Urgent,Pelayanan Publik,"TOLONG CEPAT DITINDAK LANJUTI INFO INI
TPS 48.49.50 89 DI DAERAH CENGKARENG TIDAK DIKASIH
NUSUK.MASIH RIBUAN ORANG.ALASAN
FORMULIR HABIS.SEKARANG LAGI RIBUT. TRM KSH"
90,Not Urgent,Pelayanan Publik,Tps cengkareng kayanya bermasalah
91,Urgent,Pelayanan Publik,"Pak, TPS 89 cengkareng dicurangi pak, 1000 orang gak biss nyoblos, mereka dsuruh baris dari pagi trus duduk, baris lagi, tau2 jam 12 warga marah2, ehhh dibilang waktu udh abis! Mereka msh bertahan pak dsana! Tolong segera diusut pak"
92,Urgent,Pelayanan Publik,"Selamat siang saya albertia kusuma warga jln h. muchtar no. 39 rt 04 rw 03, duri kosambi, cengkareng, jakarta barat. saya ingin melaporkan tps 31 kelurahan kami tidak memberikan surat undangan pemilihan pdahal sudah d daftarkan 5 org tp hanya 1 org yg mendpatkan krn 1 org bru meninggal. 3 org lainny tdk mndpat undngan dri rt. saat datng ke kelurahan,trnyta dsna bnyk warga puluhan orang tdk bisa memilih krn d usir oleh tps dgn alasan khabisan kertas coblos. wrga bolak balik mencari tps lain tp d usir sperti binatang. mengeluh k kelurahan duri kosambi tp tdk jga mendapat solusi. kami mohon keadilanny,krn kami wrga jakarta memiliki hak penuh trhadap pemilihan. kami merasa sangat d persulit. trimakasih"
93,Urgent,Lingkungan,Pak Ahok. Jam 22.30 daerah pertigaan palapa di Rawa Buaya Cengkareng Jakbar masih terendam banjir. Mohon bantu penanganan. Tks. 
94,Urgent,Pemukiman dan Perumahan,Lapor ber x2.  Kinerja dpk kec. Palmerah tak ada. Banyak pelanggaran dibiarkan. Tlg pak Beni Ka. Dinas dpk. Bpk. Kamilus. Dan Ahok Gub. Dki jkt. Ditinjau kembali  staff dan  Ka. Dpk kec. Palmerah. Banyak bangunan bermasalah dibiarkan. Ptsp tak bisa bertindak. Contoh bangunan pinggir jl. Sandang rt. 1 rw. 11 dpn gedung karang taruna kel. Palmerah. Melanggar Gsb dan peruntukan 3 lt. Dan ex. Kebakaran pabrik minyak gosok rw. 4 . Jl. Sulaiman. Kel. Palmerah tanpa Imb. Punya bpk Ijma perta rumah tinggal jd Mess . Pt sinta. Jl. Sulaiman kel. Kemanggisan. Menurut info pemborong sdh 86 dgn pengawas. John tomas palmerahBeni Dpk Dinas
95,Urgent,Pemukiman dan Perumahan,Lapor ber x2.  Kinerja dpk kec. Palmerah tak ada. Banyak pelanggaran dibiarkan. Tlg pak Beni Ka. Dinas dpk. Bpk. Kamilus. Dan Ahok Gub. Dki jkt. Ditinjau kembali  staff dan  Ka. Dpk kec. Palmerah. Banyak bangunan bermasalah dibiarkan. Ptsp tak bisa bertindak. Contoh bangunan pinggir jl. Sandang rt. 1 rw. 11 dpn gedung karang taruna kel. Palmerah. Melanggar Gsb dan peruntukan 3 lt. Dan ex. Kebakaran pabrik minyak gosok rw. 4 . Jl. Sulaiman. Kel. Palmerah tanpa Imb. Punya bpk Ijma perta rumah tinggal jd Mess . Pt sinta. Jl. Sulaiman kel. Kemanggisan. Menurut info pemborong sdh 86 dgn pengawas. John tomas palmerah
96,Urgent,Lingkungan,"Koh ahok, kapuk Raya di jln berdikari blm surut dr kmrn, lokasi jakbar 11720 rt 5/1 ,mohon ditanggulangi, petugas kelurahan tidak ad yg datang & pasukan orange"
97,Not Urgent,Pelayanan Publik,Pagi pak ahok... saya mau melaporkan.. tetang kelurahan pekojan... suami ku kan bikin KK ( Kartu Keluarga ) note : ganti nama sesuai dgn akta lahir ny.. suami ku sudah sls proses d SUDIN tgl  8 februari 2017.. da sudah beres sudah ksh berkas2 ny k kelurahan pekojan tgl 13 februari 2017 krn suami ku ktp d daerah pekojan... tp td pagi pas qta mau ambil KK nya kata kelurahan pekojan blm di kerjakan krn banjir kmrn... yg jd pertanyaan saya ap kah minta pergantian KK br kelurahan mang butuh waktu lama.. sedangkan di SUDIN saja 1 hr sls pak ahok gmn y?
98,Not Urgent,Pelayanan Publik,"Pak gubenur.saya mau tanya,apa mengesah kan anak dari luar nikah menjadi anak sah nikah.susah ya.kog saya dipersulit didinas kependudukan jakarta barat.trims"
99,Urgent,Lingkungan,Toolong. Permh greengarden kedoya masi banjir
100,Urgent,Lingkungan,"Pagi, team Pak Ahok. Pak, aku mo minta tlg daerah perum taman ratu indah banjirnya sdh hampir masuk ke dlm rumah org tua saya. Papi saya lagi sakit batpil, panas badannya. Sy minta tlg spy banjirnya bs cepat ditangani. Sy kasian sama org tua sy. Tks ya, team Pak Ahok. Jbu. "
101,Urgent,Keamanan dan Ketertiban,"Siang pak ahok, saya Mawar warga bojong indah mau minta tlg ditertibkan bengkel motor di jln cabe rawit raya ( dekat pasar bojong indah - rawa buaya cengkareng.. Parkiran motor nya terlalu sembarangan sehingga mengganggu kendaraan lain yg melintas. Mohon bantu ditertibkan pak, dan bnyk juga bangunan liar diatas saluran air. Mohon di bantu tertibkan pak agar bs lbh rapi. Trima ksih."
102,Not Urgent,Pelayanan Publik,"pak ahok , saya mau mengeluhkan pembuatan kk baru di kelurahan cengkareng timur , tertulis 14 hari kerja sejak tanggal 1 februari , tetapi sampai saat ini belum dibuat dgn alasan orang yang membuat terkena musibah , saya menunggu pengecekan saja sangat lama. rt 07/14 kelurahan cengkareng timur, sedangkan untuk segala urusan seperti sim , pencoblosan gubernur dan lainnya membutuhkan kk , mohon pak di review lagi kelurahan cengkareng timur , terima kasih"
103,Urgent,Lingkungan,"selamat sore Pak Ahok, mau beritahu utk wilayah kapuk khususnya di rw 02 dan 03 masih terendam banjir, mohon ditindaklanjuti, terima kasih"
104,Urgent,Lngkungan,Tolong perhatiannya pak Ahok air yg menggenangi pemukiman kami yaitu jelambar Duta mas sampai skrg kok airnya gak surut2 ya tempat lain udah pada surut ketinggian airnya sampai 50cm sekali lagi lagi mohon perhatiannya pak terima kasih
105,Urgent,Pelayanan Publik,"Malam pak, dari taman sari 6 gang jaya bakti jakarta barat. Dibantu petugas kebersihan tidak pernah datang lagi untuk ambil sampah warga padahal sudah bayar iuran kebersihan"
106,Urgent,Pelayanan Publik,"pak ahok selamat siang... E KTP di kelurahan tanah sereal kosong sampai berbulan bulan, bagaimana ya pak ahok tindak lanjutnya?. sy buat EKTP skrng ini disuruh balik sekitar bulan april. makasih pak ahok"
107,Urgent,Lingkungan,Pak mau melapor kalau di dlm komplek green garden jakarta barat banjir lagi. Uda 2x kali dlm mggu ini dan gk surut dr jam 2230WIB. Thnks.
108,Urgent,Lingkungan,Kemarin sore jam 6.20 pm mulai hujan sampai jam 8pm stop. Tdk ada banjir sama sekali. Lalu mulai jam 10an pm baniir kiriman datang lah. Masuk ke Komp. Green Garden. Sampai jam 5.30 pagi msh tinggi. 30cm. Surut jam 8 pagi
109,Urgent,Transportasi,"Selamat siang pak, hari ini minggu 26 maret 2017 pukul 17.00 saya ingin menyampaikan keluhan mengenai kemacetan yg terjadi di sekitar kali jodoh. Terutama di tol turunan angke . Bisa stuck tidak bergerak sekitar 30 menit bahkan lebih terutama saat weekend.  Hal ini terjadi semenjak kalijodoh sangat banyak didatangi pengunjung. Jalanan didepan kalijodoh dimanfaatkan semua org utk berjualan , nge-tem angkot , pak ogah , parkir liar . Jalanan menjadi sangat macet dan tidak kondusif . Mohon kiranya dibantu. Terima kasih"
110,Urgent,Pelayanan Publik,"Yth Bp. Ahok, kami mau melaporkan kinerja pegawai Kelurahan Grogol PTSP yg bernama SEBASTIAN yang seringkali mempersulit warga yg membutuhkan pelayanan kelurahan yg menyebabkan warga harus bolak balik ke kelurahan dan seringkali menyulitkan dengan meminta data yg mengada2, sebaiknya orang tsb jangan diletakkan di bagian pelayanan masyarakat. tks. "
111,Urgent,Pelayanan Publik,"Pak Ahok, pembuatan e-ktp d kelurahan pekojan jakarta barat memakan waktu lebih dari 6 bulan. Tolong di cek, saya ada perbaikan nama krn salah cetak dan hingga sekarang belom dapet yang baru"
112,Not Urgent,Pelayanan Publik,"Selamat malam TimSes AhokDjarot. Sy Halley Tjandra pendukung paslon nomor 2. Ingin melaporkan apakah proses pembuatan Ektp yang hilang membutuhkan waktu lebih dari setengah tahun? Sy tinggal di daerah grogol, Jakarta Barat. Setiap saya datang ke kelurahan grogol selalu mendapatkan jwban blanko habis. Thx"
113,Urgent,Pelayanan Publik,"Bapak, tolong dibantu. Kantor imigrasi jakarta barat, system down sudah 2 minggu, menyebabkan pelayanan sangat buruk, petugas yg ada juga sangat tidak ramah. Tidak dapat menjelaskan, langsung ditinggal begitu saja. Terima kasih."
114,Urgent,Pelayanan Publik,Selamat siang. Saya mau lapor pembuatan ktp saya yang seharusnya selesai 9 februari 2016 tapi sampai tgl 2 Maret 2017 belum jadi juga di kelurahan kembangan utara.
115,Not Urgent,Keamanan dan Ketertiban,Pak sy sugianto mau ksh kbr di tpt sy bambu larangan rw 5  pegadungan ada spanduk menjelek kan bpk ahok tlg di turun kan
116,Not Urgent,Pelayanan Publik,Selamat Pagi Pa Ahok sy dg Bambang Arianto Almt Kedaung kali angke Blok B No 1 Rt 006/002 Jakarta Barat. Sy buat EKTP sudah sejak bulan September 2016 sampai sekarang blm juga jadi. Mohon Pa Gubernur di perhatikan utk kelurahan kedaung Kali Angke. Krn KTP tsb sangat kita perlukan. Tksh
117,Not Urgent,Pemukiman dan Perumahan,"Pak Basuki selamat siang, laporan: sekarang terlalu banyak yg punya mobil tidak memiliki parkir pribadi, contohnya di rumah orang tua saya di perum. Taman kota, blok  e, kembangan utara, jak-bar, jalanan penuh mobil parkir, dan mengganggu, sekiranya punya mobil harus memiliki parkir pribadi yg sesuai dgn luasannya, dari onggo susanto, terima kasih."
118,Not Urgent,Pelayanan Publik,"Selamat siang pak basuki, saya rika warga Kalideres Jakarta Barat ingin mengadu, sudah sejak September pembuatan e-ktp di kelurahan kalideres, hingga Maret tidak pernah jadi. Setiap bulan saya mengunjungi kelurahan tapi tidak ada kejelasan dari bagian birokrasi. Mohon penjelasan dan penyelesainnya. Terima kasih pak."
119,Urgent,Lingkungan,"Siang Pak Ahok, mohon dibantu Jl. Asirot 3 Kel.Sukabumi Selatan, Kec.Kebun Jeruk,Jakbar. Klo hujan besar banjir,got penuh sampah,wilayah RT 11,12,04/RW 01. Banjir juga di Jl. Asirot & depan Jl. Asirot Dalam di turunan jln depan Alfamart & Indomaret. Mohon juga diberikan plang nama jalan. Trims,Pak.(Winda)"
120,Urgent,Keamanan dan Ketertiban,"Yth.Bpk. Gubernur Dki Jakarta. Nama. Pak Budi. Alamat. Jln. Tomang Tinggi Raya Rt.002/06 Kel.Tomang, kec. Grogol Petamburan. jakarta Barat. Persisnya d belakang Rs. Sumber waras. Pak sy binggung ko pasar malam d tmp sy ada lg pd hal pak camat sm pak lurah tomang sdh melarang dan bahkan kini pak camat sm pak lurah sdh memberi ijin dgn syarat 1 bulan 2 kali. Pak tlg beri teguran sm pak camat dan lurah tlg hentikan pasar malam itu karna berada d jalur hijau dan kami sangat terganggu Terima kasih"
121,Not Urgent,Sosial dan Kesejahteraan,"Selama malam bapak ahok yang terhormat , saya Lukas warga kebon jahe Kapuk Cengkareng No.81 Rt 015/03 melaporkan bahwa ada tindakan kecurangan terhadap Ketua RW 003 dimana saat saya minta tanda tangan surat pengantar dari beliau , malah beliau minta uang sejumlah 1 juta untuk acc tanda tangan , mohon bapak kiranya menindak lanjutin ketua RW yang kurang sopan tersebut.trima kasih"
122,Urgent,Pemukiman dan Perumahan,"Yth bapak2 ,laporan sy 1716455 belum ditindaklanjuti, sy Leny ,lapor tgl 20,21,23,28 Pebr tolong pak, Jl.Mangga Besar 4F no 28 Jak Bar, sy harap, bpk2 bisa menolong krn rt,rw,kelurahan tdk merespon. Pengaduan: tembok tetangga no.26  tanpa izin menempel dan talang airnya buat tembok basah sdh 2 kali korslet listrik, sy sdh bicara tp tdk ditanggapi, tgl 16/2/17 sy lapor ke rt10 tp rt tdk ada,rw02,kel.tamansari tp tdk ada tindakan, sy sdh jelaskan penting tolong agar tdk terjadi kebakaran, tp dr rt,rw,kelurahan tdk ada yg datang. Saat  hujan, khawatir listrik korslet dan dlm rmh sy banjir.Mohon Pak segera bantuannya, agar talang airnya dipindah, agar tdk korslet listrik lagi. Nb: perseteruan antar tetangga ini yg ke3.Terima kasih pak (Nb: tolong juga pak, agar warga disini (mg.bsr 4f rt 10 rw 02 )punya ketua rt yg bisa ditemui, krn rt nya TDK PERNAH bisa ditemui sejak jadi ketua rt)              "
123,Not Urgent,Pelayanan Publik,"Pak Ahok, di kota bambu, Jakarta Barat , banyak sekali e ktp kami blm jadi, alasannya krn ada kepalsuan dr pengurus yg lama, walaupun kami masih bisa mengikuti pilkada, kita doakan Pak Ahok tetap menang"
124,Not Urgent,Pelayanan Publik,PAK. TLNG. GUBERNUR YTH. TLNG. KEL KAPUK. PELAYANAN DI PERBAIKIN LAMBAT. BANGET BWAT NGURUSIN SEMUANYA TLG DI SIDAK. PAK KMREN SAYA NGURUSIN ORANG MENINGAL. LAMA BNGET PAK TRIMAKASIH
125,Not Urgent,Sosial dan Kesejahteraan,"Selamat malam pak Ahok, saya Edwin warga joglo jakbar. setiap Minggu pagi jam 9 mesjid daerah saya di jl.almubarok, joglo jakbar pasti selalu ada semacam ceramah pengajian, yg isinya selalu mendiskreditkan agama Kristen. Ini sdh mengganggu sekali pak, Krn dilakukan bukan hanya untuk kalangan intern tp ini sengaja disiarkan keluar pakai toa yg pastinya didengar dgn jelas oleh warga sekitar. Mohon ditertibkan pak, ini sdh amat meresahkan karena bisa menyulut kebencian. TKS atas atensinya pak Ahok."
126,Not Urgent,Pelayanan Publik,"halo pak, saya bikin ektp bulan lalu tp sampai skg belom jdi. tolong dibantu dong pak. sy bikin ektp sy di kelurahan kebun jeruk jakbar. thx"
127,Not Urgent,Pelayanan Publik,"saya mau melaporkan oknum RT 007/006 kelurahan jelambar baru. Yg mempersulit surat pengantar RT , untuk keperluan peranjangan KTP saya yg blm elektrik"
128,Not Urgent,Pelayanan Publik,PAGI PAK. KAMI ADA MELIHAT SAAT PILKADA GUBERNUR BULAN FEBRUARY YG BARU KHUSUSNYA DI KELURAHAN PEKOJAN.KECAMATAN TAMBORA RW 06 TERDAPAT BANYAK WARGA YG TDK MENDAPATKAN HAK SUARA PILIH. WARGA TANYA SAMA RW . RW NYA JAWAB PULANG DULU SAJA. SETELAH JAM 12 SIANG BALIK. WARGA TANYA KENAPA NAMANYA TIDAK TERCANTUM DI DAFTAR PEMILIHAN. JAWABNYA KELURAHAN BELUM TERDAFTAR. PADAHAL SEMINGGU SEBELUMNYA SDH KAMI TANYAKAN DAN MINTAKAN SURAT HAK PILIH. SAMPAI HARI H NYA PUN NAMA KAMI TIDAK TERDAFTAR. SEDIH PAK. MOHON BULAN 4 JGN TERULANG LAGI . KLU RW KAMI ATAU LURAH KAMI GAK MEMBERI PERHATIAN UTK WARGANYA. MINTA PAK AHOK PANTAU LANGSUNG DEH .SEDIH DEMOKRASI NYA PAK.MOHON DITELUSURI
129,Urgent,Keamanan dan Ketertiban,Tolong ditindak mobil parkir liar di sepanjang jalan taman anggrek sampai terowongan tol . Terima kasih
130,Not Urgent,Pelayanan Publik,"Pagi Pak ahok. Saya yuli, warga semanan, telp ke kelurahan semanan dari tadi pagi jam 9 sekarang jam 10 ga diangkat. Bukan nada sibuk. Bingung apa saking sibuknya sampai ga bisa angkat telp. Padahal saya mau tanya petugas kpu uda ada blum. Karena tadi pagi jam 8 saya ke sana. Dia bilang pps nya baru dtg jam 10-11. Seharusnya kan pps itu ada dari jam 8. Mau daftar dpt aja susah. Telp call centernya yg 31908701 juga salah. Itu toko katanya. Daftar aja penuh perjuangan. Ampun d. Telp call center, jawabnya ragu ragu gitu. Bener2 ga professional. "
131,Urgent,Pelayanan Publik,"Selamat siang bpk gub,. Saya leo warga mangga besar taman sari,. Saya baru saja menikah dengan orang luar daerah,. Saya mau tanya pak, saya mau buat kk baru dan perpindahan ktp luar kota ke jakarta (istri) kenapa dipersulit ya pak,. Orang suku dinas kembangan menyuruh saya bolak balik untuk keperluan yang sebelumnya tidak diberitahu oleh kelurahan,. Seandainya 1x balik tidak masalah pak,.tapi ini kenapa disuruh pake surat pernyataan orang tua segala yah pak? Mohon infonya pak,. Kalo bisa saya ngomong langsung, saya ngomong langsung deh pak,."
132,Urgent,Pemukiman dan Perumahan,"Yth bapak2 ,laporan sms sy tgl 20,21,23,28 pebr & 6 maret, pd jumat 10/3 jam 5 sore, br tahap peninjauan&foto  ke rmh sy dari kelurahan, Jl.Mangga Besar 4F no 28 Jak Bar, Rt10 Rw02 Kel.Tamansari. Sy akan melapor ke Bpk, tiap perkembangan. Pengaduan: tembok tetangga no.26  tanpa izin menempel dan talang airnya buat tembok basah sdh 2 kali korslet listrik dan dlm rmh banjir, sy sdh bicara dgn tetangga tp tdk ditanggapi.Sy berharap pihak kelurahan dpt segera selesaikan masalah ini, agar tdk terjadi kebakaran, krn saat hujan, khawatir listrik korslet dan dlm rmh sy banjir.Mohon Pak segera bantuannya, agar talang airnya dipindah, agar tdk korslet listrik lagi. Nb: perseteruan antar tetangga ini yg ke3.Terima kasih pak (Nb: tolong juga pak, agar warga mg.bsr 4f rt10 rw02 punya ketua rt yg bisa ditemui, krn rt nya TDK PERNAH bisa ditemui sejak jadi ketua rt dan ini sdh sy sampaikan kpd Bp.Lurah)              "
133,Not Urgent,Pelayanan Publik,Bapak ahok sy mendaftar ke kelurahan tomang. Tolong diusut sblm hr senin ini. Sy daftar kan ktp dan kk saya krn kmrin blm dpt kartu pemilih.tp mereka ga mau ksh bukti tanda terima.alasanya suruh tgu tgl 28 .liat sy ad di daftar pemilih ga nama saya kl ga ada baru dikasih tanda terimanya. Dulu sblm pemilu pun bgtu dgn org yg sama mau daftar tp ditolak alasanny suruh lgs dtg k tps aj bw ftokopi kk dan ktp. Kynya mau dicurangin
134,Not Urgent,Sosial dan Kesejahteraan,"Kepada yth bapak gubernur,saya mau menginformasikan bahwa di ketua RT saya selalu pilih kasih masalah pembangunan jalan khususnya di wilayah Rt 017 Rw 013 kapuk cengkareng"
135,Urgent,Sosial dan Kesejahteraan,"Siang pak, saya mau melapor ada tetangga dpb rmh setiap hari bakar smpah rmh tangga dan smph lain ny asap nya smpe masuk ke rmh2 sdh pernh saya minta tolong utk tdk bakar tp keesokan hari nya tetap saja dia bakar, mohon bantuan bapak utk dpt menindak lanjutin nya,alamt rmh saya di Jln pelopor blok O4 no 21 menceng,tegal alur jakrta barat. "
136,Urgent,Keamanan dan Ketertiban,"Mhn Bapak mensterilkan jl Kunir, jl Kalibesar timur 3 dr pkl . Jln tsb adalah jln utama masa dijadikan penampungan pkl. Mrk jualan dr sore sd subuh kalo sabtu miinggu buka nonstop. Disitu bnyk perumahan jdi mengganggu kenyamanan dan keamanan Kalo mlm suara musik diputar se keras2nya. Blm lagi pemabok psk pemalak bnyk berkeliaran kalo penampungan di jl cengkeh blm jadi larang saja pklnya jgn jualan dulu. Jgn warga setmpt yg jadi korban. Upk kotatua saja menolak tmptnya dijadiikan penampungan sementara. T kasih."
137,Urgent,Keamanan dan Ketertiban,Pak Gub yg terhormat ini sya dri kota tua dijln cengkeh.kali besar timur 3.saya suda berpuluh lapor kelurah rw rt.tdk ada layanan.masalah shisa yg minum2 dan rokok mabuk2an.dan serta wanita  yg seronok.dipinggur jalan.apa ini diizinkan.sepertinya kali jodoh pindah disini.gimna pak .sangat memalukan dimesium fatahilah tempat wisata.jdi begituan.ini ada kamtib pungut byran.toling pak dibersikan seperti dulu.aman tidak ada keributan cipet pelacur murahan.gak bsa dibersikan pak.makasih atas perhatiannya.
138,Urgent,Keamanan dan Ketertiban,Kami atas nama warga jln cengkeh kali besar timur 3.merasa keberatan .parkir liar yg dipegang preman2 dudpn pintu kita2.jkt barat kel pingsia.kecamatan taman sari.setiap hari dri jm 9 sampe pagi.dimna aparatnya bsa main kyanya.
139,Urgent,Keamanan dan Ketertiban,"Selamat malam Pak Ahok, sebelumnya saya minta maaf karena bpk saat ini sibuk dgn sidang kasus menyudutkan bpk ,semoga dpt terselesaikan, pak Ahok ,sy mengajukan pengaduan 1/.disebrang rmh sy skrng sd dijdkan tempat jualan makanan, dan lbh parah buat kumpul2 karaokean hampir setiap hari smp tengah malam, yg jd masalah bunyi basnya sangat mengganngu tdk sekali ,kita istirahat jd tdk enak, sy sd mengadu ke RT kebetulan disebelah rmh sy tp tdk ditanggapi krn sd trima suap ,2/. Masalah penyembeliah ayam smp sekarang msh berjalan, ini bau anyir jk siang smp disekitar rmh kami,pak Ahok tolong team bapak datang tinjau t4 tersebut jk lahan tersebut memang boleh didirikan bangunan, minta tolong ditertibkan jk buat t4 karaokean ,spy suaranya tdk mengganggu sekitarnya, Pak Ahok, dulu sy pernah dipanggil sm pak lurah masalah ini juga, ditemukan dg pemilik dan berjanji soal ayam akan pindah dan karaoke akan diusahkan tdk mengganggu, tp kenyataan malah kesan arogan, maaf pak Ahok, karena pak Lurah melindungi orang ini, saya ingin tempat yg tertib dan bersih ,sebelumnya trima kasih salam singgih surosoputro ,perum kosambi blok e9/32"
140,Not Urgent,Keamanan dan Ketertiban,"Siang Pak Ahok,sy mau ksh info sj disebrang jln rmh sy, sebelah kanan sd ada bedeng buat bengkel motor, skrng kanannya bengkel motor mulai dibangun bedeng semi permanen, ini lama2 jd rmh permanen, skrng karoke msh kdng main keras2 , bau anyir msh, yg sd teratasi pasar malem, demikian info sy, semoga info ini dpt bahan pertimbangan utk team pak Ahok mensurvey, terima kasih salam singgih warga perum kosambi baru jakbar blok e9/32 jakbaru, kel duri kosambi"
141,Not Urgent,Pemukiman dan Perumahan,"Saya mau melapor di perumahan Taman Semanan Indah, Jl. Dharma Griya 3, Blok C4 (Cengkareng-Duri Kosambi), di atas tanah kosong yang tepat di sebelahnya dan di sekelilingnya adalah rumah tinggal orang, di buat untuk pelihara ayam lebih dari 10 ekor. Saya harap laporan ini dapat segera di tindak lanjuti."
142,Urgent,Keamanan dan Ketertiban,Sore  pak.di RW.O5.Kampung Bambu Larangan.Kelurahan Cengkareng Barat ada spanduk ^provokasi sara^masih terpasang...lapor kemana ya Pak?trimakasih atas tanggapanya.dari.tirza
143,Urgent,Keamanan dan Ketertiban,"Pak Ahok, di Krukut pasar Kelurahan krukut.  masih ada terpasang SPANDUK PROVOKATIF SARA-KAFIR. Mohon tindak lanjuti.  "
144,Not Urgent,Keamanan dan Ketertiban,Pak gubener . Ad sepamduk di pom bensin pesing di dlm pom bensin.
145,Urgent,Keamanan dan Ketertiban,ni sayah mao melaporkan ada 3 anak mudah di jalan prepedan raya tepatnya di depan Gg batok masjid al falah anania sedang melakukan pembicaraan perampokan sebuah kotak amal tolong di tindak sekarang 
146,Urgent,Keamanan dan Ketertiban,"Yth Pak Gub.DKIJKT, saya ingin laporkan PKL di jln. Meruya ilir raya depan eks pombensin gang lambo, kel.meruya utara jakbar, pedagang gerobak biru dagang pagi hari bikin macet jalan bnyak mobil pd ngetem pinggir jalan, mhn ditertibkan sudah lapor qlue tdk ada tindakan apa2 dari kel.meruya utara, tolong pak ditindaklanjuti laporan saya,thanks, Salam"
147,Urgent,Keamanan dan Ketertiban,"Selamat siang Bapak Gubernur, saya Defie warga RT 9/10 kembangan utara jakarta barat, saya mau lapor masalah keamanan daerah saya yg belakangan ini marak pencurian motor n barang elektronik, saya sendiri sudah menjadi korban dan maling malah semakin berani, kami sebagai warga merasa tidak aman. Minta tolong pak untuk segera di tindak lanjuti masalah ini oleh polisi setempat "
148,Not Urgent,Pemukiman dan Perumahan,"Selamat siang pak Ahok, maaf sy menganggu cuti bpk, nama sy : Tjoe Lian Risamanto alm: jln Pekojan Raya no 35 A RT004 RW01 kel. pekojan kec.Tambora, lokasi Rumah : di bantaran kali Angke. masalah sy adalah rumah sewa(Thiap) yg sy tempati, dmn pihak penyewa ingin mengusir kami dari rumah ini alasan mau dipakai utk kep.pribadi. Pada tahun 1957, nenek sy sdh membeli rumah ini tetapi hrs mmbayar sewa bulanan ke tuan tanah. Kmudian sejak tahun 2002-2011,uang sewa bulanan tsb tdk ditagih ke keluarga sy, pada tahun 2011 diinformasikan tuan tanah tlh meninggal dan urusan rumah sy ini diwariskan ke cucuny bernama pak ali, yg ingin mengubah rumah sy mnjdi sistem kontrak dan memberikan surat pengosongan rumah, sy pun tidak setuju. Mediasi dri 2011-2014 masalah ini tidak terselesaikan ,kmdian kami mediasikan melalui kelurahan, stlh mediasi, sy sudah membayar biaya sewa tertunggah dri thn 2002-2014 kpd pak ali dan sampai skrg sy msh mmbayar sewa bulanan, utk PBB sy sudah mmbyar dri thn 1984 - sekarang. Pada Januari 2017, pak ali mengirimkan surat utk mengosongkan rumah lagi, pak ali pun bertindak anarkis dgn menggembok rumah sy ketika kami sekeluarga sdng keluar dan membawa massa utk mencoba menakuti keluarga sy. Mohon bantuanny pak ahok bagaimana penyelesaian utk masalah ini? Terima kasih"
149,Not Urgent,Keamanan dan Ketertiban,"Lapor spanduk marak lagi di pomp bensin batusari ..,,,,.. Warga bonjer peduli Ahok"
150,Urgent,Keamanan dan Ketertiban,Didalam Gg kel tambora masih banyak spanduk menghasut untuk tidak memilih pemimpin muslim kapan diturunkan tepatnya di Rw 06 terimakasih
151,Urgent,Keamanan dan Ketertiban,Sy simpatisannya Ahok melapor: sd bbrpa  hri ada trpasang  1 spanduk provokatif besar dri tokoh agama Moslem di Jln. Jeruk Manis ujung Kebon Jeruk - Jakarta Barat. Slmt brjuang Tuhan membrkati
152,Urgent,Keamanan dan Ketertiban,Selamat siang. Saya mau melapor untuk lapak yang dulu menyebabkan kebakaran. Sekarang mereka sudah bangun kembali bangunan mereka. Sungguh amat sangat mengganggu. Saya mohon apakah ada solusi untuk mereka tidak membangun lapak liar. Karena saya yakin mereka tidak ada ijin untuk melakukan jual beli barang bekas di daerah perumahan. Lokasi di asia baru blok ii jakarta barat. Kejadian kebakaran. https://m.detik.com/news/berita/d-3398629/tak-hanya-lapak-kebakaran-di-kebon-jeruk-juga-hanguskan-6-rumah. Terima kasih
153,Urgent,Keamanan dan Ketertiban,"Pa,  tadi saya lewat di pertigaan jl. Pos antara jl. Manyar dan jl. Prepedan ada terpampang spanduk besar yg bermaksud provokasi. Mohon di tertibkan karena mengandung SARA. Ada 2  spanduk saya lihat "
154,Urgent,Keamanan dan Ketertiban,Slmt pagi.  Saya melihat spanduk provokatif didaerah gg harlan petamburan jkt brt. Dekat s.d. 03. Sehingga tidak nyaman bagi orang yg berjiwa nasionalis. Trim`s!
155,Urgent,Keamanan dan Ketertiban,Slmt pagi.  Saya melihat spanduk provokatif didaerah gg harlan petamburan jkt brt. Sehingga tidak nyaman bagi orang yg nasionalis.
